t,u,y,ysp
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.53313,0,2
7,0.90923,0.10663,2
8,1.1747,0.27781,2
9,1.3596,0.48497,2
10,1.4842,0.7084,2
11,1.5624,0.93439,2
12,1.6045,1.1534,2
13,1.6184,1.359,2
14,1.6102,1.5468,2
15,1.5853,1.7141,2
16,1.5477,1.8598,2
17,1.1,1.9833,2
18,1.1,2.005,2
19,1.1,2.0245,2
20,1.1,2.0421,2
21,1.1,2.0578,2
22,1.1,2.0721,2
23,1.0994,2.0849,2
24,1.0916,2.0963,2
25,1.0797,2.1049,2
26,1.066,2.1104,2
27,1.0519,2.1126,2
28,1.0383,2.1117,2
29,1.0256,2.1082,2
30,1.0143,2.1025,2
31,1.0045,2.0951,2
32,0.99625,2.0865,2
33,0.98952,2.0771,2
34,0.98427,2.0673,2
35,0.98038,2.0574,2
36,0.97772,2.0477,2
37,0.97615,2.0385,2
38,0.97552,2.0299,2
39,0.97567,2.022,2
40,0.97647,2.0149,2
41,0.97777,2.0087,2
42,0.97945,2.0034,2
43,0.98139,1.999,2
44,0.9835,1.9954,2
45,0.98568,1.9925,2
46,0.98786,1.9904,2
47,0.98998,1.9889,2
48,0.992,1.988,2
49,0.99387,1.9876,2
50,0.99557,1.9876,2
