x,y,y1,y2,y3
0.06,0.097801,0.06,2.94,-10.38
0.12,0.16326,0.12,2.88,-10.26
0.18,0.22938,0.18,2.82,-10.14
0.24,0.29623,0.24,2.76,-10.02
0.3,0.36383,0.3,2.7,-9.9
0.36,0.43222,0.36,2.64,-9.78
0.42,0.5014,0.42,2.58,-9.66
0.48,0.57136,0.48,2.52,-9.54
0.54,0.64205,0.54,2.46,-9.42
0.6,0.71335,0.6,2.4,-9.3
0.66,0.7851,0.66,2.34,-9.18
0.72,0.85706,0.72,2.28,-9.06
0.78,0.92888,0.78,2.22,-8.94
0.84,1.0001,0.84,2.16,-8.82
0.9,1.0702,0.9,2.1,-8.7
0.96,1.1384,0.96,2.04,-8.58
1.02,1.2038,1.02,1.98,-8.46
1.08,1.2655,1.08,1.92,-8.34
1.14,1.3224,1.14,1.86,-8.22
1.2,1.3733,1.2,1.8,-8.1
1.26,1.417,1.26,1.74,-7.98
1.32,1.4523,1.32,1.68,-7.86
1.38,1.4783,1.38,1.62,-7.74
1.44,1.4942,1.44,1.56,-7.62
1.5,1.4994,1.5,1.5,-7.5
1.56,1.4939,1.56,1.44,-7.38
1.62,1.4777,1.62,1.38,-7.26
1.68,1.4514,1.68,1.32,-7.14
1.74,1.4157,1.74,1.26,-7.02
1.8,1.3716,1.8,1.2,-6.9
1.86,1.3203,1.86,1.14,-6.78
1.92,1.2629,1.92,1.08,-6.66
1.98,1.2006,1.98,1.02,-6.54
2.04,1.1345,2.04,0.96,-6.42
2.1,1.0655,2.1,0.9,-6.3
2.16,0.99451,2.16,0.84,-6.18
2.22,0.9222,2.22,0.78,-6.06
2.28,0.84913,2.28,0.72,-5.94
2.34,0.77574,2.34,0.66,-5.82
2.4,0.70234,2.4,0.6,-5.7
2.46,0.62913,2.46,0.54,-5.58
2.52,0.55624,2.52,0.48,-5.46
2.58,0.48375,2.58,0.42,-5.34
2.64,0.41165,2.64,0.36,-5.22
2.7,0.33992,2.7,0.3,-5.1
2.76,0.26848,2.76,0.24,-4.98
2.82,0.19726,2.82,0.18,-4.86
2.88,0.12613,2.88,0.12,-4.74
2.94,0.054991,2.94,0.06,-4.62
3,-0.016301,3,0,-4.5
3.06,-0.087876,3.06,-0.06,-4.38
3.12,-0.15987,3.12,-0.12,-4.26
3.18,-0.2324,3.18,-0.18,-4.14
3.24,-0.3056,3.24,-0.24,-4.02
3.3,-0.37957,3.3,-0.3,-3.9
3.36,-0.4544,3.36,-0.36,-3.78
3.42,-0.53013,3.42,-0.42,-3.66
3.48,-0.60678,3.48,-0.48,-3.54
3.54,-0.68428,3.54,-0.54,-3.42
3.6,-0.76252,3.6,-0.6,-3.3
3.66,-0.84127,3.66,-0.66,-3.18
3.72,-0.92018,3.72,-0.72,-3.06
3.78,-0.99876,3.78,-0.78,-2.94
3.84,-1.0764,3.84,-0.84,-2.82
3.9,-1.1521,3.9,-0.9,-2.7
3.96,-1.2249,3.96,-0.96,-2.58
4.02,-1.2936,4.02,-1.02,-2.46
4.08,-1.3566,4.08,-1.08,-2.34
4.14,-1.4123,4.14,-1.14,-2.22
4.2,-1.4589,4.2,-1.2,-2.1
4.26,-1.4947,4.26,-1.26,-1.98
4.32,-1.518,4.32,-1.32,-1.86
4.38,-1.5273,4.38,-1.38,-1.74
4.44,-1.5214,4.44,-1.44,-1.62
4.5,-1.4996,4.5,-1.5,-1.5
4.56,-1.4616,4.56,-1.56,-1.38
4.62,-1.4077,4.62,-1.62,-1.26
4.68,-1.3387,4.68,-1.68,-1.14
4.74,-1.2556,4.74,-1.74,-1.02
4.8,-1.1601,4.8,-1.8,-0.9
4.86,-1.0537,4.86,-1.86,-0.78
4.92,-0.93838,4.92,-1.92,-0.66
4.98,-0.81579,4.98,-1.98,-0.54
5.04,-0.68761,5.04,-2.04,-0.42
5.1,-0.55532,5.1,-2.1,-0.3
5.16,-0.4202,5.16,-2.16,-0.18
5.22,-0.28334,5.22,-2.22,-0.06
5.28,-0.1456,5.28,-2.28,0.06
5.34,-0.0076553,5.34,-2.34,0.18
5.4,0.12997,5.4,-2.4,0.3
5.46,0.26693,5.46,-2.46,0.42
5.52,0.40295,5.52,-2.52,0.54
5.58,0.53789,5.58,-2.58,0.66
5.64,0.67167,5.64,-2.64,0.78
5.7,0.80425,5.7,-2.7,0.9
5.76,0.93566,5.76,-2.76,1.02
5.82,1.0659,5.82,-2.82,1.14
5.88,1.1951,5.88,-2.88,1.26
5.94,1.3233,5.94,-2.94,1.38
6,1.4506,6,-3,1.5
