t,s1,s2,s3
2.5,0,0,0
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,-0.00013922,-0.00062541,-0.00083335
15,-3.7145e-05,-0.0010089,-0.0014245
17.5,0.00027876,-0.001186,-0.0018166
20,0.00078341,-0.0011879,-0.0020461
22.5,0.0014539,-0.0010422,-0.0021438
25,0.0022694,-0.00077321,-0.002136
27.5,0.0032109,-0.00040214,-0.0020446
30,0.0042611,5.2385e-05,-0.0018879
32.5,0.0054044,0.00057412,-0.0016815
35,0.0066265,0.0011489,-0.001438
37.5,0.0079145,0.0017645,-0.0011681
40,0.0092569,0.0024102,-0.00088048
42.5,0.010643,0.0030769,-0.00058226
45,0.012063,0.0037568,-0.0002792
47.5,0.01351,0.0044431,2.4042e-05
50,0.014974,0.0051302,0.00032381
52.5,0.01645,0.0058132,0.00061722
55,0.01793,0.0064881,0.00090208
57.5,0.019411,0.0071517,0.0011768
60,0.020887,0.0078011,0.00144
62.5,0.022353,0.0084343,0.0016912
65,0.023806,0.0090494,0.0019296
67.5,0.025242,0.0096451,0.0021552
70,0.02666,0.01022,0.0023679
72.5,0.028056,0.010775,0.0025677
75,0.029427,0.011307,0.0027551
77.5,0.030774,0.011818,0.0029302
80,0.032093,0.012308,0.0030936
82.5,0.033383,0.012775,0.0032458
85,0.034644,0.013221,0.0033871
87.5,0.035875,0.013646,0.0035183
90,0.037076,0.01405,0.0036397
92.5,0.038244,0.014434,0.0037521
95,0.039381,0.014799,0.0038559
97.5,0.040487,0.015145,0.0039516
100,0.04156,0.015472,0.0040398
102.5,0.042602,0.015782,0.004121
105,0.043612,0.016074,0.0041956
107.5,0.044591,0.016351,0.0042642
110,0.045539,0.016611,0.0043271
112.5,0.046457,0.016857,0.0043848
115,0.047344,0.017089,0.0044377
117.5,0.048202,0.017307,0.0044861
120,0.04903,0.017512,0.0045304
122.5,0.049831,0.017705,0.0045709
125,0.050603,0.017886,0.004608
127.5,0.051348,0.018057,0.0046418
130,0.052066,0.018216,0.0046726
132.5,0.052758,0.018366,0.0047008
135,0.053425,0.018507,0.0047264
137.5,0.054067,0.018639,0.0047498
140,0.054685,0.018762,0.0047711
142.5,0.05528,0.018878,0.0047905
145,0.055853,0.018986,0.0048081
147.5,0.056403,0.019087,0.0048242
150,0.056933,0.019182,0.0048388
152.5,0.057441,0.019271,0.0048521
155,0.05793,0.019353,0.0048641
157.5,0.0584,0.019431,0.0048751
160,0.058851,0.019503,0.004885
162.5,0.059284,0.01957,0.0048941
165,0.059699,0.019633,0.0049023
167.5,0.060098,0.019692,0.0049097
170,0.060481,0.019747,0.0049164
172.5,0.060848,0.019798,0.0049225
175,0.0612,0.019846,0.0049281
177.5,0.061538,0.01989,0.0049331
180,0.061861,0.019931,0.0049376
182.5,0.062171,0.01997,0.0049418
185,0.062469,0.020006,0.0049455
187.5,0.062754,0.020039,0.0049489
190,0.063026,0.02007,0.0049519
192.5,0.063288,0.020099,0.0049547
195,0.063538,0.020126,0.0049572
197.5,0.063778,0.020151,0.0049595
200,0.064007,0.020175,0.0049615
202.5,0.064227,0.020196,0.0049634
205,0.064437,0.020217,0.004965
207.5,0.064638,0.020235,0.0049666
210,0.064831,0.020253,0.0049679
212.5,0.065015,0.020269,0.0049692
215,0.065191,0.020284,0.0049703
217.5,0.06536,0.020298,0.0049713
220,0.065521,0.020311,0.0049722
222.5,0.065675,0.020323,0.004973
225,0.065823,0.020334,0.0049738
227.5,0.065964,0.020345,0.0049744
230,0.066099,0.020354,0.004975
232.5,0.066228,0.020363,0.0049756
235,0.066351,0.020372,0.0049761
237.5,0.066469,0.02038,0.0049765
240,0.066581,0.020387,0.0049769
242.5,0.066689,0.020393,0.0049773
245,0.066791,0.020399,0.0049776
247.5,0.06689,0.020405,0.0049779
250,0.066984,0.020411,0.0049782
