u,y
0.6,0.057615
1.2,0.11093
1.8,0.16054
2.4,0.20691
3,0.2504
3.6,0.29134
4.2,0.32997
4.8,0.36652
5.4,0.40116
6,0.43406
6.6,0.46537
7.2,0.49519
7.8,0.52364
8.4,0.55082
9,0.5768
9.6,0.60168
10.2,0.62551
10.8,0.64837
11.4,0.6703
12,0.69136
12.6,0.71161
13.2,0.73107
13.8,0.7498
14.4,0.76783
15,0.78519
15.6,0.80192
16.2,0.81805
16.8,0.83361
17.4,0.84861
18,0.8631
18.6,0.87708
19.2,0.89058
19.8,0.90363
20.4,0.91623
21,0.92842
21.6,0.94019
22.2,0.95158
22.8,0.96259
23.4,0.97325
24,0.98356
24.6,0.99353
25.2,1.0032
25.8,1.0125
26.4,1.0216
27,1.0303
27.6,1.0388
28.2,1.047
28.8,1.055
29.4,1.0627
30,1.0701
30.6,1.0774
31.2,1.0843
31.8,1.0911
32.4,1.0977
33,1.1041
33.6,1.1102
34.2,1.1162
34.8,1.122
35.4,1.1276
36,1.133
36.6,1.1382
37.2,1.1433
37.8,1.1483
38.4,1.153
39,1.1577
39.6,1.1621
40.2,1.1665
40.8,1.1707
41.4,1.1747
42,1.1786
42.6,1.1824
43.2,1.1861
43.8,1.1897
44.4,1.1931
45,1.1964
45.6,1.1996
46.2,1.2027
46.8,1.2057
47.4,1.2086
48,1.2114
48.6,1.2141
49.2,1.2168
49.8,1.2193
50.4,1.2217
51,1.224
51.6,1.2263
52.2,1.2285
52.8,1.2305
53.4,1.2326
54,1.2345
54.6,1.2363
55.2,1.2381
55.8,1.2398
56.4,1.2415
57,1.2431
57.6,1.2446
58.2,1.246
58.8,1.2474
59.4,1.2487
60,1.25
